Frame,Timestamp,Joint,Angle,Status
85,1774369928.7588758,Left Leg,178,Extended
85,1774369928.7588758,Right Leg,179,Extended
86,1774369928.8375065,Left Arm,70,Bent
86,1774369928.8375065,Right Arm,9,Bent
86,1774369928.8375065,Left Leg,178,Extended
86,1774369928.8385997,Right Leg,179,Extended
87,1774369928.9147222,Left Arm,50,Bent
87,1774369928.9147222,Right Arm,9,Bent
87,1774369928.9147222,Left Leg,178,Extended
87,1774369928.9157221,Right Leg,179,Extended
88,1774369928.9909987,Left Arm,127,Bent
88,1774369928.9920015,Right Arm,11,Bent
88,1774369928.9920015,Left Leg,179,Extended
88,1774369928.9920015,Right Leg,179,Extended
89,1774369929.0756032,Left Arm,35,Bent
89,1774369929.076601,Right Arm,9,Bent
89,1774369929.076601,Left Leg,178,Extended
89,1774369929.0776021,Right Leg,179,Extended
90,1774369929.1581695,Left Arm,66,Bent
90,1774369929.1581695,Right Arm,9,Bent
90,1774369929.1592019,Left Leg,178,Extended
90,1774369929.1601791,Right Leg,178,Extended
91,1774369929.2521434,Left Arm,37,Bent
91,1774369929.2521434,Right Arm,11,Bent
91,1774369929.2521434,Left Leg,178,Extended
91,1774369929.2536533,Right Leg,179,Extended
92,1774369929.3404055,Left Arm,29,Bent
92,1774369929.3404055,Right Arm,10,Bent
92,1774369929.3416398,Left Leg,178,Extended
92,1774369929.3416398,Right Leg,179,Extended
93,1774369929.4315107,Left Arm,52,Bent
93,1774369929.432508,Right Arm,10,Bent
93,1774369929.432508,Left Leg,178,Extended
93,1774369929.432508,Right Leg,179,Extended
94,1774369929.5058556,Left Arm,32,Bent
94,1774369929.5058556,Right Arm,10,Bent
94,1774369929.5058556,Left Leg,178,Extended
94,1774369929.5058556,Right Leg,179,Extended
95,1774369929.5841372,Left Arm,74,Bent
95,1774369929.5851674,Right Arm,8,Bent
95,1774369929.5851674,Left Leg,178,Extended
95,1774369929.5862055,Right Leg,179,Extended
96,1774369929.6561422,Left Arm,35,Bent
96,1774369929.6561422,Right Arm,10,Bent
96,1774369929.6574185,Left Leg,178,Extended
96,1774369929.6574185,Right Leg,179,Extended
97,1774369929.737152,Left Arm,33,Bent
97,1774369929.737152,Right Arm,11,Bent
97,1774369929.737152,Left Leg,177,Extended
97,1774369929.737152,Right Leg,179,Extended
98,1774369929.8159046,Left Arm,33,Bent
98,1774369929.8159046,Right Arm,11,Bent
98,1774369929.8159046,Left Leg,177,Extended
98,1774369929.8169384,Right Leg,179,Extended
99,1774369929.895205,Left Arm,31,Bent
99,1774369929.895205,Right Arm,11,Bent
99,1774369929.8963516,Left Leg,178,Extended
99,1774369929.8963516,Right Leg,179,Extended
100,1774369929.9745347,Left Arm,69,Bent
100,1774369929.9745347,Right Arm,11,Bent
100,1774369929.9745347,Left Leg,178,Extended
100,1774369929.9756148,Right Leg,179,Extended
101,1774369930.0554798,Left Arm,81,Bent
101,1774369930.0554798,Right Arm,9,Bent
101,1774369930.056493,Left Leg,178,Extended
101,1774369930.056493,Right Leg,179,Extended
102,1774369930.1348214,Left Arm,65,Bent
102,1774369930.1348214,Right Arm,8,Bent
102,1774369930.1358252,Left Leg,178,Extended
102,1774369930.1358252,Right Leg,179,Extended
103,1774369930.2179685,Left Arm,130,Bent
103,1774369930.2179685,Right Arm,7,Bent
103,1774369930.2189806,Left Leg,179,Extended
103,1774369930.2189806,Right Leg,178,Extended
104,1774369930.3069842,Left Arm,134,Bent
104,1774369930.308,Right Arm,10,Bent
104,1774369930.308,Left Leg,179,Extended
104,1774369930.3089845,Right Leg,178,Extended
105,1774369930.4006562,Left Arm,65,Bent
105,1774369930.4006562,Right Arm,10,Bent
105,1774369930.4006562,Left Leg,179,Extended
105,1774369930.4020512,Right Leg,178,Extended
106,1774369930.4939983,Left Arm,134,Bent
106,1774369930.4939983,Right Arm,9,Bent
106,1774369930.4953892,Left Leg,179,Extended
106,1774369930.4953892,Right Leg,178,Extended
107,1774369930.57674,Left Arm,29,Bent
107,1774369930.5777774,Right Arm,11,Bent
107,1774369930.5777774,Left Leg,178,Extended
107,1774369930.5777774,Right Leg,179,Extended
108,1774369930.6545393,Left Arm,44,Bent
108,1774369930.6555347,Right Arm,10,Bent
108,1774369930.6555347,Left Leg,178,Extended
108,1774369930.6555347,Right Leg,179,Extended
109,1774369930.730851,Left Arm,43,Bent
109,1774369930.730851,Right Arm,10,Bent
109,1774369930.7317967,Left Leg,178,Extended
109,1774369930.7317967,Right Leg,179,Extended
110,1774369930.8081183,Left Arm,115,Bent
110,1774369930.8081183,Right Arm,10,Bent
110,1774369930.809261,Left Leg,178,Extended
110,1774369930.809261,Right Leg,178,Extended
111,1774369930.8880148,Left Arm,57,Bent
111,1774369930.88907,Right Arm,10,Bent
111,1774369930.88907,Left Leg,178,Extended
111,1774369930.8900685,Right Leg,178,Extended
112,1774369930.9685931,Left Arm,30,Bent
112,1774369930.9698522,Right Arm,10,Bent
112,1774369930.9698522,Left Leg,178,Extended
112,1774369930.970856,Right Leg,178,Extended
113,1774369931.0534234,Left Arm,61,Bent
113,1774369931.0534234,Right Arm,10,Bent
113,1774369931.0544283,Left Leg,178,Extended
113,1774369931.0544283,Right Leg,178,Extended
114,1774369931.1504524,Left Arm,45,Bent
114,1774369931.151457,Right Arm,10,Bent
114,1774369931.151457,Left Leg,178,Extended
114,1774369931.152443,Right Leg,179,Extended
115,1774369931.2457268,Left Arm,32,Bent
115,1774369931.2457268,Right Arm,10,Bent
115,1774369931.2467237,Left Leg,178,Extended
115,1774369931.2467237,Right Leg,179,Extended
116,1774369931.3351083,Left Arm,34,Bent
116,1774369931.3351083,Right Arm,8,Bent
116,1774369931.3351083,Left Leg,178,Extended
116,1774369931.3365655,Right Leg,179,Extended
117,1774369931.4258428,Left Arm,34,Bent
117,1774369931.426859,Right Arm,9,Bent
117,1774369931.4278545,Left Leg,178,Extended
117,1774369931.4278545,Right Leg,179,Extended
118,1774369931.515865,Left Arm,32,Bent
118,1774369931.515865,Right Arm,9,Bent
118,1774369931.5168765,Left Leg,178,Extended
118,1774369931.5168765,Right Leg,179,Extended
119,1774369931.5868893,Left Arm,136,Bent
119,1774369931.5868893,Right Arm,9,Bent
119,1774369931.5878863,Left Leg,178,Extended
119,1774369931.5878863,Right Leg,179,Extended
120,1774369931.6644595,Left Arm,59,Bent
120,1774369931.6644595,Right Arm,9,Bent
120,1774369931.6644595,Left Leg,178,Extended
120,1774369931.6644595,Right Leg,179,Extended
121,1774369931.7482188,Left Arm,36,Bent
121,1774369931.7482188,Right Arm,10,Bent
121,1774369931.7482188,Left Leg,178,Extended
121,1774369931.7482188,Right Leg,179,Extended
122,1774369931.8234158,Left Arm,43,Bent
122,1774369931.8234158,Right Arm,9,Bent
122,1774369931.824403,Left Leg,178,Extended
122,1774369931.824403,Right Leg,179,Extended
123,1774369931.9045806,Left Arm,72,Bent
123,1774369931.9045806,Right Arm,7,Bent
123,1774369931.9045806,Left Leg,178,Extended
123,1774369931.9045806,Right Leg,179,Extended
124,1774369931.9846854,Left Arm,143,Bent
